id,name,party,partyLabel,votes,election,electionLabel,ranking
Q7184061,Philip McGuigan,Q76382,Sinn Féin,9780,Q28231972,2017 Assembly election,1
Q7352813,Robin Swann,Q841045,Ulster Unionist Party,8413,Q28231972,2017 Assembly election,2
Q3499853,Jim Allister,Q985076,Traditional Unionist Voice,7989,Q28231972,2017 Assembly election,3
Q16214843,Paul Frew,Q215519,Democratic Unionist Party,7231,Q28231972,2017 Assembly election,4
Q6820936,Mervyn Storey,Q215519,Democratic Unionist Party,7066,Q28231972,2017 Assembly election,5
Q24083706,Phillip Logan,Q215519,Democratic Unionist Party,5860,Q28231972,2017 Assembly election,6
,Connor Duncan,Q175443,Social Democratic and Labour Party,4992,Q28231972,2017 Assembly election,7
,Patricia O'Lynn,Q244927,Alliance Party of Northern Ireland,3030,Q28231972,2017 Assembly election,8
,Timothy Gaston,Q985076,Traditional Unionist Voice,1509,Q28231972,2017 Assembly election,9
,Mark Bailey,Q1096979,Green Party in Northern Ireland,580,Q28231972,2017 Assembly election,10
,Monica Digney,Q16847164,Independent Republican (Ireland),454,Q28231972,2017 Assembly election,11
,Adam McBride,Q327591,Independent politician,113,Q28231972,2017 Assembly election,12
Q3499853,Jim Allister,Q985076,Traditional Unionist Voice,7600,Q16973450,2016 Assembly election,1
Q16214843,Paul Frew,Q215519,Democratic Unionist Party,6095,Q16973450,2016 Assembly election,2
Q6820936,Mervyn Storey,Q215519,Democratic Unionist Party,8443,Q16973450,2016 Assembly election,3
Q24083706,Phillip Logan,Q215519,Democratic Unionist Party,7165.24,Q16973450,2016 Assembly election,4
Q7352813,Robin Swann,Q841045,Ulster Unionist Party,5545.44,Q16973450,2016 Assembly election,5
Q5209806,Daithí McKay,Q76382,Sinn Féin,5473.98,Q16973450,2016 Assembly election,6
,Connor Duncan,Q175443,Social Democratic and Labour Party,3886.84,Q16973450,2016 Assembly election,7
Q5237376,David McIlveen,Q215519,Democratic Unionist Party,3604,Q16973450,2016 Assembly election,8
,Timothy Gaston,Q985076,Traditional Unionist Voice,2123,Q16973450,2016 Assembly election,9
,Stephen McFarland,Q244927,Alliance Party of Northern Ireland,1718,Q16973450,2016 Assembly election,10
,Donna Anderson,Q10647,UK Independence Party,1070,Q16973450,2016 Assembly election,11
,Andrew Wright,Q841045,Ulster Unionist Party,831,Q16973450,2016 Assembly election,12
,Jennifer Breslin,Q1096979,Green Party in Northern Ireland,593,Q16973450,2016 Assembly election,13
,Kathryn Johnston,Q20642359,Northern Ireland Labour Representation Committee,243,Q16973450,2016 Assembly election,14
,James Simpson,Q7058484,Northern Ireland Conservatives,92,Q16973450,2016 Assembly election,15
Q16214843,Paul Frew,Q215519,Democratic Unionist Party,6581,Q7058474,2011 Assembly election,1
Q5209806,Daithí McKay,Q76382,Sinn Féin,6152,Q7058474,2011 Assembly election,2
Q6820936,Mervyn Storey,Q215519,Democratic Unionist Party,6083,Q7058474,2011 Assembly election,3
Q5237376,David McIlveen,Q215519,Democratic Unionist Party,6594,Q7058474,2011 Assembly election,4
Q7352813,Robin Swann,Q841045,Ulster Unionist Party,5557,Q7058474,2011 Assembly election,5
Q3499853,Jim Allister,Q985076,Traditional Unionist Voice,5430,Q7058474,2011 Assembly election,6
Q5249384,Declan O'Loan,Q175443,Social Democratic and Labour Party,4816,Q7058474,2011 Assembly election,7
,Evelyne Robinson,Q215519,Democratic Unionist Party,3990,Q7058474,2011 Assembly election,8
,Bill Kennedy,Q841045,Ulster Unionist Party,2583,Q7058474,2011 Assembly election,9
,Jayne Dunlop,Q244927,Alliance Party of Northern Ireland,1883,Q7058474,2011 Assembly election,10
,Audrey Patterson,Q985076,Traditional Unionist Voice,670,Q7058474,2011 Assembly election,11
Q296597,Ian Paisley,Q215519,Democratic Unionist Party,7716,Q2562399,2007 Assembly election,1
Q5209806,Daithí McKay,Q76382,Sinn Féin,7065,Q2562399,2007 Assembly election,2
Q575881,Ian Paisley Jr.,Q215519,Democratic Unionist Party,7264.04,Q2562399,2007 Assembly election,3
Q7343139,Robert Coulter,Q841045,Ulster Unionist Party,6578.66,Q2562399,2007 Assembly election,4
Q6820936,Mervyn Storey,Q215519,Democratic Unionist Party,6923.83,Q2562399,2007 Assembly election,5
Q5249384,Declan O'Loan,Q175443,Social Democratic and Labour Party,6498.23,Q2562399,2007 Assembly election,6
,Deirdre Nelson,Q215519,Democratic Unionist Party,4091.99,Q2562399,2007 Assembly election,7
,Orla Black,Q175443,Social Democratic and Labour Party,2844.63,Q2562399,2007 Assembly election,8
,Lyle Cubitt,Q985706,UK Unionist Party,2148.85,Q2562399,2007 Assembly election,9
,Robin Swann,Q841045,Ulster Unionist Party,1466.24,Q2562399,2007 Assembly election,10
,Jayne Dunlop,Q244927,Alliance Party of Northern Ireland,1298.25,Q2562399,2007 Assembly election,11
,Paul McGlinchey,Q16847164,Independent Republican (Ireland),482.44,Q2562399,2007 Assembly election,12
,James Gregg,Q327591,Independent politician,320.09,Q2562399,2007 Assembly election,13
Q296597,Ian Paisley,Q215519,Democratic Unionist Party,8732,Q2076187,2003 Assembly election,1
Q575881,Ian Paisley Jr.,Q215519,Democratic Unionist Party,7898,Q2076187,2003 Assembly election,2
Q7343139,Robert Coulter,Q841045,Ulster Unionist Party,6385,Q2076187,2003 Assembly election,3
